objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
achebe_pfp,achebe_pfp.jpg,,"Achebe, Chinua (1930-2013)",image/jpg,"Chinua Achebe was a Nigerian novelist and poet most well known for his first novel <em>Things Fall Apart</em>, its sequel <em>No Longer at Ease</em>, and his fifth novel <em>Anthills of the Savannah</em>. Achebe’s first novel is the most widely read and translated African novel of all time, which earned him the title of father of modern African literature. Achebe received several literary awards during his lifetime, including the first Commonwealth Poetry Prize and the Man Booker International Prize in 2007. Achebe’s writing heavily criticizes westernization and British colonialism in Nigeria, as well as inaccurate and racist depictions of Africa in western literature.<br/><br/>

He is also not afraid to criticize Africans on their lack of resistance against colonialism. In <em>Things Fall Apart</em>, Achebe tells the story of Okonkwo, who finds himself fighting against British missionaries and colonists in his village. When he suggests that they fight back, and he does by beheading a messenger, no one else fights with him. He quickly realizes he is one of the only ones resisting colonialism and conversion. In the sequel <em>No Longer at Ease</em>, Okonkwo’s grandson Obi, struggles with his Igbo identity as he becomes more westernized. He is tried in a colonial court for taking a bribe, a similar commentary on the fact that straying away from his Igbo traditions for western beliefs led to his corruption.",,,1930;2013,,biographic image,"Authors, Nigerian;Igbo (African People); ",Nigeria,6.15,6.866667,,,,,,,,,StillImage,eng,thingsfall_pfp; 
anansi_pfp,anansi_pfp.jpg,,Anansi,image/jpg,"Kwaku Anansi is the spider God and a major trickster character in Ghanaian folklore and mythology originally from the Asante people of the Akan ethnic group. Anansi is depicted as a man with eight legs who triumphs over more powerful adversaries by utilizing his wits and cunning nature. His cunningness inspires the Akan word – Anansesem, which describes a story too incredible to believe. In Gold Coast mythology, Anansi is the creator of the world and plays the role of a cultural hero who accomplishes impossible tasks like stealing the sun. Anansi tales were spread throughout the globe through transatlantic slave trade. He entered American folklore as Brer Rabbit and holds space in Western pop culture as Marvel’s Spiderman. Anansi tales are also fundamental to Caribbean folklore, especially Jamaican lore. African slaves in the U.S. regarded, the Anansi inspired character, Brer Rabbit as a resistance figure whose use of brains over brawn empowered slaves to undermine and challenge the plantation regimes.<br/><br/>

Anansi’s versatile stories and characters were shaped, reimagined, and retold throughout the years by people across the globe. Traditional Anansi tales live on through oral story telling in West Africa and Asansi tales are highlighted to varying degrees in contemporary African literature. Contemporary authors call on Anansi folklore to reemphasize the importance of Anansi tales or to comment on lessons of the past. In <em>Anansi and The Golden Pot</em> by Taiye Selasi, an American Ghanian author, Anansi the boy visits his grandmother back in Ghana. Through his encounters with Anansi the spider, he learns of the relationship between greed and kindness. This modern children’s story beautifully retells and introduces the tradition of Anansi to a new generation.<br/><br/>

Many western authors contribute to the original tales of Anansi. Anansi’s character is represented in many works of art and literature, from graphic art to plays. <em>Anansi Boys</em> by Neil Gaiman was published in 2005 and is currently being produced as a short Amazon Prime video series. This story features the Anansi inspired character Mr. Nancy whose story is revealed through the journey of his two children’s folklore-filled adventures. As Anansi’s character is passed along through oral traditions, literature, and media, a common thread of values and inspiration is preserved in each encounter. Anansi’s spider-like manifestation and essential message of overcoming life with wit, made it easy for people across the world to embrace the Ghanian trickster.",,,,,character image,Anansi (Legendary character)--Legends;Folklore--Ghana; Akan (African People) ,Ghana,5.555,-0.1925,,,,,,,,,StillImage,eng,gyasi_pfp;
apartheid_pfp,apartheid_pfp.jpg,,Apartheid,image/jpg,"The Apartheid refers to the social system enacted by the South African government in 1948. Literally meaning “apartness,” this system seeked to separate the different racial groups in South Africa by drastic institutionalized racism. There was a facade of equality and freedom, but the policies implemented into the law made this impossible. Instead, segregation, classism, and racism became the center of the government. This caste-like system upheld white power while simultaneously pinning people of color at the bottom of the social hierarchy, making social mobility and escaping this system impossible. In 1950, The Population Registration Act was passed, forcing all South Africans to register their race. The Group Areas Act physically separated people based on their race, even going as far as displacing people of color from their homes into neglected areas with other people of color. Black people were forced to rent this property, there were no opportunities to own property. There was an illusion of every thing being separated but equal. However, people of color were far from their culture, workplaces, had little opportunity, and were not allowed to go into areas where white people were, so everything was separate and unequal. Other acts were passed to prevent interracial marriage and any type of sexual relations between races.<br/><br/>

At the center of many of Lebogang Mashile’s works is the apartheid. Her family was exiled during the Apartheid, and when she returned to South Africa after the Apartheid, the effects were still prevalent. Much to her despair, the damage was evident and the people are still rebuilding their lives and relationships with “freedom.” Mashile highlights this feeling in her poem “Insider Outsider.” She describes her home country being a foreign land full of empty promises. The people are left with the scars and no one else seems to understand. Black people are considered outsiders in their own home land because white people wanted to preserve their power at the cost of black people. She describes feeling tired of being different, feeling helpless, and how she will forever carry the scars of the Apartheid. However, she knew she was in control of her destiny. It may be easier to dwell and resent the past injustice, but she chose to take it upon herself to discover her worth and empower other South Africans to do the same. Even if society does not support this, unity and determination will prevail.",,,1948;1990,,cultural concept,Apartheid;South Africa--Race relations;,South Africa,-29.695,24.387,,,,,,,,,StillImage,eng,mashile_pfp;
fishermen_pfp,fishermen_pfp.jpg,,<em>The Fishermen</em> (2015),image/jpg,"The book takes place in the city of Akure near the Ala river in Nigeria in 1990’s when the country was under the rule of Sanu Abacha. Tha main characters were four brothers Ikenna, Boja, Ovembe, and Benjamin. They enjoy fishing in the Ala River even though their parents do not allow them to because the water is extremely polluted. One day they ran into a man named Abulu the local madman who shouted a prophecy that Ikenna the oldest brother will become blind, mute, crippled, and will be killed by a fisherman. Ikenna assumes that one of his brothers is going to kill him and begins to turn on them all. This prophecy causes all the family to fall apart. This story has been compared to both the story in the Bible Cain and Able were two brothers turn on one another and the book <em>Things Fall Apart</em> because of the central theme revolving around a prophecy.",,,2015,,text,Nigerian literature (English);Prophecy in literature,Nigeria,7.25,5.195,,,,,,,,,StillImage,eng,
griot_pfp,griot_pfp.jpg,,griot,image/jpg,"Griots are part of an ancient tradition that still remains today. They often play instruments, such as the kora or balafon, along with their storytelling and involve the audience to guarantee their attention. Griots have been around for centuries and are given their positions hereditarily, the tradition being passed down through family members. Oral storytelling done by griots is the most common way to pass down stories in this region of Africa, with each griot adding different parts based on their personal experiences and performing their unique version of these stories.<br/><br/>

All of these stories are fully memorized by the griots and are rarely written down. One of the most well known tales shared by griots is that of Sunjata, an epic tale about the founder of the Mali Empire. Though the main details of the story stay the same, no griot tells the story the same way, with each adding their own details. In addition to retelling traditional tales and recounting historical events, griots also create their own stories about their communities and current situations. Griots also hold an important position as the genealogists of their families and are tasked with preserving their family traditions. Lastly, griots have historically served as diplomats, advisors, and mediators of conflict, and were highly respected for doing so, though these roles have diminished significantly today and their main focus has become performing. Many modern-day griots travel to share their traditions and storytelling with the world, giving those unfamiliar with western African culture an opportunity to learn about and appreciate their history.",Student B,,,,cultural concept,Griots;Oral tradition; ,"Africa, West ",20.222,-4.384,,,,,,,,,StillImage,eng,
gyasi_pfp,gyasi_pfp.jpg,,"Gyasi, Yaa (1989-)",image/jpg,"Yaa Gyasi was born in Ghana and moved to Huntsville, Alabama in 1991. While earning a B.A. in English from Standford University, she received the Chappell-Lougee grant for research, which she used to return to Ghana. Her visit to Cape Cod Castle, a key slave trading post during the African slave trade, was the initial inspiration for her first book, <em>Homecoming</em>. <em>Homecoming</em> appeared on the New York Times’ “100 Notable Books of 2016” list and received wide acclaim including the National Book Critics Circle’s John Leonard Prize for Best First Book and the American Book Award. Her second novel Transcendent Kingdom is told through the eyes of a girl whose family emigrated from Ghana to the United States.<br/><br/>

Yaa’s characters are complex beings that reveal important aspects of our human nature, as they work to thrive in the United States. She artfully connects Ghana and the United States, by depicting the diverse impacts each country’s society and history has on the world. Yaa Gyasi’s powerful literary voice is characterized by personable and intimate accounts that depicts America’s complex and intense racial landscape. Her sentence structure is simple and constructs absorbing character identities, making her books accessible to vast audiences. Her works explore how Black women and families navigate traditional and contemporary expectations, family history, and their individual identities. Yaa’s voice contributes to a grander voice of female African writers, and is empowered by Toni Morrison’s quote, “If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Student A,,1989,,biographic image,"Authors, Ghanaian;Ghanaian Americans; ",Ghana,7.066667,-1.4,homegoing_pfp,,,,,,,,StillImage,eng,
homegoing_pfp,homegoing_pfp.jpg,,<em>Homegoing</em> (2016),image/jpg,"Homegoing is the debut historical fiction novel by Ghanaian-American author Yaa Gyasi, published in 2016. Each chapter in the novel follows a different descendant of an Asante woman named Maame, starting with her two daughters, who are half-sisters, separated by circumstance: Effia marries James Collins, the British governor in charge of Cape Coast Castle, while her half-sister Esi is held captive in the dungeons below. Subsequent chapters follow their children and following generations. ",Student A,,2016,,text,Ghanaian Literature (English);Slave trade in literature;Ashanti (African people);,Ghana,5.103611,-1.241111,gyasi_pfp;,,,,,,,,StillImage,eng,
krar_pfp,krar_pfp.jpg,,krar,image/jpg,"The krar is a lyre instrument from Ethiopia and Eritrea, typically with five to six strings tuned to a pentatonic scale. Along with the masenqo and the Washinit, the krar is a key instrument of the Amhara people. Instruments like the krar are played all over East Africa, and the krar continues to be one of the most popular Ethiopian stringed instruments. Now, it can even be amplified, like an electric guitar or bass. The krar was historically used to honor female beauty, as an aphrodisiac and to commend love. It has a very sexual history, and is still used to perform love songs, secular songs and vulgar poetry. The krar is typically associated with sex and femininity, and in Amhara society was viewed as an instrument inspired by the Devil.<br/><br/>

The krar appears multiple times in the Sudanese refugee camp where <em>Silence Is My Mother Tongue</em> takes place. Referred to as “the singer”, the Azmari plays her krar multiple times throughout the novel, but most notably during Saba’s wedding. This would make sense, as the krar is said to inspire and represent sexual, vulgar love and is traditionally played at weddings for those connotations. Here, the Azmari serves as an entertainer, guiding the wedding party through the celebration with songs, prayers, poems, and blessings for the new couple. Now that Saba is married, the krar represents how sex and servitude are expected from her and ultimately, motherhood.<br/><br/>

The krar is often played by the Azmari, poet-musicians from the Ethiopian Highlands that mirror traditions of West African griots. Though a traditional instrument related to masenqo and begena, the krar is associated with outlaws, wanderers, and bandits. In past times, wanderers played the krar to ask for food, and outlaws played it to sing a war song called Fano. Despite these associations, the krar’s popularity and traditions continue today throughout the various regions.",Student E,,,,musical instrument,"Musical instruments--Africa, East;Amhara (African people);Oral tradition;",Ethiopia; Eritrea,14.295,38.661,,,,,,,,,StillImage,eng,
mashile_pfp,mashile_pfp.jpg,,"Mashile, Lebogang (1979-)",image/jpg,"Lebogang Mashile is the author of several inspirational poems, including “Tomorrow's Daughters,” “Insider Outsider,” “Tell Your Story,” and “Mama’s War.” She is also known for her appearance in the 2004 film Hotel Rwanda and for hosting and producing the documentary program “L’Attitude” and the game show “Drawing the line.” She was born in the United States to exiled South African parents, but returned to her roots in 1990 following the Apartheid. Her passion for the arts and inspirational works greatly influenced the South African people, which is evident through her numerous accolades. Between 2005 and 2007, she was named the top 100 youth in South Africa, one of South Africa’s Awesome Women by Cosmopolitan, and she received a Noma award. <br/><br/>

Her poems are most appreciated for their portrayals of feminism, racial equality, spirituality, and post Apartheid social political conditions. She is able to present the complexity and reality of being a black South African woman post Apartheid through powerful and personal rhetoric and tone. One instance of this is her poem Tomorrow’s Daughters, which seeks to inspire young black girls that institutionalized injustice does not define them. They are beautiful, have dignity, and are capable of overcoming racist history by standing up and confronting it. Despite the racist roots of South Africa and one sided account of history, black girls can make a change by bringing their side of history to light, loudly and assertively. Mashile successfully empowers black women to realize their worth despite societal degradation.",Student D,,1979,,biographic image,"Authors, South African;South African Americans ",South Africa,-29.695,24.387,,,,,,,,,StillImage,eng,
mbue_pfp,mbue_pfp.jpg,,"Mbue, Imbolo (1981-)",image/jpg,"Imbolo Mbue is a Cameroonian-American novelist and short-story writer based in New York City. Originally working in the corporate business world, Mbue didn’t start taking writing seriously until she lost her job in the Great Recession. She taught herself how to write fiction after reading <em>Songs of Solomon</em> by Toni Morrison during this period. A lot of Mbue’s work is inspired by experiences in immigrations, both her own and the experiences of others.<br/><br/> 

During the period after her firing, she began to notice the class differences in New York, especially prevalent between the chauffeurs, predominantly black, were waiting to drive predominantly white CEOs. These scenes forced her to confront her own experiences, and she cites this period as a key part in the formation of her first novel, <em>Behold the Dreamers</em>. Mbue rejects the notion of the American Dream, a theme she plays with in <em>Behold the Dreamers</em>. Her second novel, <em>How Beautiful We Were</em>, describes the battle between a fictional African village and an American oil company, using the effects of colonialism and brute capitalism as major themes throughout. Mbue’s use of sharp details in her writing helps to express the nuances of African and immigrant experiences to an American audience.",Student E,,1981,,biographic image,"Authors, Cameroonian;Cameroonians--Foreign countries;  ",Cameroon,4.016667,9.216667,,,,,,,,,StillImage,eng,
